,en
TITLE,Pong It!
,
MAIN_MENU_BUTTON_EXIT,Exit
MAIN_MENU_BUTTON_NAME,Name
MAIN_MENU_BUTTON_MULTIPLAYER,Multiplayer
MAIN_MENU_BUTTON_OK,Ok
MAIN_MENU_BUTTON_OPTIONS,Options
MAIN_MENU_BUTTON_SETTINGS,Settings
MAIN_MENU_BUTTON_START,Start
MAIN_MENU_NAME,Name
MAIN_MENU_OPTIONS_APPLY,Apply
MAIN_MENU_OPTIONS_CANCEL,Cancel
MAIN_MENU_OPTIONS_OK,Ok
MAIN_MENU_OPTIONS_SAVE,Save
MAIN_MENU_OPTIONS_AUDIO,Audio
MAIN_MENU_OPTIONS_AUDIO_GENERAL,General
MAIN_MENU_OPTIONS_AUDIO_MUSIC,Music
MAIN_MENU_OPTIONS_AUDIO_MUTED,Muted
MAIN_MENU_OPTIONS_AUDIO_SOUNDEFFECTS,Sound Effects
MAIN_MENU_OPTIONS_VIDEO,Video
MAIN_MENU_OPTIONS_VIDEO_RESOLUTION,Resolution
MAIN_MENU_OPTIONS_VIDEO_FULLSCREEN,Fullscreen
MAIN_MENU_OPTIONS_VIDEO_VSYNC,VSYNC
MAIN_MENU_VERSION,Version
,
`,
,
LOBBY_ADDRESS,Address
LOBBY_BUTTON_CANCEL,Cancel
LOBBY_BUTTON_EXIT,Exit
LOBBY_BUTTON_HOST,Host
LOBBY_BUTTON_JOIN,Join
LOBBY_MESSAGE_ADDRESS_INVALID,IP address is invalid
LOBBY_MESSAGE_CANCELLED,Cancelled
LOBBY_MESSAGE_CANT_CONNECT,Couldn't connect
LOBBY_MESSAGE_CONNECTING,Connecting...
LOBBY_MESSAGE_EXIT,Exiting
LOBBY_MESSAGE_PORT_INVALID,Port is invalid
LOBBY_MESSAGE_PORT_INVALID_RANGE,"Port is invalid, must be range of 1024-65535"
LOBBY_MESSAGE_WAITING,Waiting for player...
LOBBY_STATUS_CONNECTED,Connected
LOBBY_STATUS_DISCONNECTED,Disconnected
LOBBY_STATUS_IN_GAME,In Game
LOBBY_STATUS_WAITING,Waiting for player...
LOBBY_STATUS_WAITING_SERVER,Waiting for server...
NETWORK_MESSAGE_CANT_HOST,"Can't host, address in use"
NETWORK_MESSAGE_DISCONNECTED_CLIENT,Client disconnected
NETWORK_MESSAGE_DISCONNECTED_SERVER,Server disconnected
,
,
PONG_YOU,You
PONG_WINNER,The Winner!
